DateTime,Entries,UniqueIPs
1518596214,31626,31868
1518596906,31628,31870
1518597876,31630,31872
1518598837,31638,31880
1518599797,31646,31888
1518600753,31650,31892
1518601720,31651,31893
1518602681,31637,31879
1518603747,31647,31889
1518604900,31643,31885
1518605555,31639,31881
1518606513,31639,31881
1518607220,31643,31885
1518607953,31644,31886
1518608667,31644,31886
1518609383,31650,31892
1518610099,31642,31884
1518610837,31635,31878
1518611544,31631,31874
1518612261,31633,31876
1518612986,31630,31873
1518614034,31637,31880
1518614910,31636,31879
1518615619,31632,31875
1518616344,31631,31874
1518617081,31623,31866
1518618039,31626,31869
1518618744,31624,31867
1518619461,31619,31862
1518620184,31623,31866
1518621159,31613,31856
1518621867,31619,31862
1518622583,31616,31859
1518623307,31608,31851
1518624041,31605,31848
1518624763,31607,31850
1518625465,31599,31842
1518626197,31599,31842
1518627147,31598,31841
1518628117,31595,31838
1518629078,31588,31831
1518630024,31586,31829
1518630990,31585,31828
1518631960,31588,31831
1518632916,31586,31829
1518633860,31585,31828
1518634567,31594,31837
1518635293,31591,31834
1518636513,31587,31830
1518637222,31582,31825
1518637967,31582,31825
1518638918,31574,31817
1518639879,31580,31823
1518640600,31580,31823
1518641301,31570,31813
1518642030,31574,31817
1518642999,31561,31804
1518643952,31560,31803
1518644922,31552,31795
1518645869,31564,31807
1518646827,31545,31788
1518647785,31542,31785
1518649486,31539,31782
1518650170,31534,31778
1518650908,31532,31776
1518651871,31525,31769
1518652831,31508,31752
1518653802,31515,31759
1518654748,31514,31758
1518655717,31513,31757
1518656673,31510,31754
1518657404,31507,31751
1518658105,31506,31750
1518658825,31502,31745
1518659554,31501,31744
1518660510,31508,31751
1518661241,31502,31745
1518662194,31501,31744
1518663148,31489,31732
1518664128,31485,31728
1518665312,31475,31718
1518666272,31471,31714
1518667229,31487,31730
1518668204,31476,31720
1518669405,31480,31724
1518670365,31476,31720
1518671315,31472,31716
1518672273,31469,31713
1518673475,31474,31718
1518674442,31470,31714
1518675393,31470,31714
1518676353,31476,31720
1518677556,31470,31715
1518678515,31467,31712
1518679463,31468,31713
1518680431,31469,31714
1518681392,31470,31715
1518682358,31464,31709
1518683057,31465,31710
1518683782,31467,31712
1518684499,31475,31720
1518685238,31478,31723
1518686198,31484,31729
1518687146,31483,31728
1518688115,31475,31720
1518689322,31469,31714
1518690267,31477,31722
1518691220,31472,31717
1518692191,31469,31714
1518693153,31467,31714
1518693858,31470,31717
1518694581,31470,31717
1518695301,31466,31713
1518696044,31458,31705
1518697380,31457,31704
1518698185,31447,31694
