DateTime,AddedIPs,RemovedIPs
1518596214,7,6
1518596906,10,10
1518597876,7,4
1518598837,14,2
1518599797,9,6
1518600753,9,8
1518601720,7,10
1518602681,4,1
1518603747,15,9
1518604900,5,6
1518605555,2,5
1518606513,6,5
1518607220,11,4
1518607953,6,7
1518608667,5,12
1518609383,6,2
1518610099,4,0
1518610837,7,4
1518611544,7,7
1518612261,3,14
1518612986,5,0
1518614034,11,16
1518614910,8,8
1518615619,6,3
1518616344,5,5
1518617081,4,3
1518618039,10,11
1518618744,6,0
1518619461,4,8
1518620184,5,3
1518621159,6,10
1518621867,6,4
1518622583,6,7
1518623307,3,4
1518624041,6,3
1518624763,4,10
1518625465,5,0
1518626197,9,9
1518627147,9,7
1518628117,8,3
1518629078,4,4
1518630024,12,3
1518630990,7,3
1518631960,11,6
1518632916,9,8
1518633860,10,5
1518634567,12,9
1518635293,7,0
1518636513,9,17
1518637222,4,0
1518637967,8,13
1518638918,5,8
1518639879,12,8
1518640600,2,10
1518641301,2,4
1518642030,4,8
1518642999,3,9
1518643952,7,12
1518644922,5,4
1518645869,14,9
1518646827,5,4
1518647785,9,7
1518649486,12,8
1518650170,6,10
1518650908,5,15
1518651871,3,4
1518652831,5,5
1518653802,10,9
1518654748,11,10
1518655717,12,7
1518656673,10,13
1518657404,7,6
1518658105,3,0
1518658825,5,12
1518659554,3,7
1518660510,9,4
1518661241,6,13
1518662194,11,9
1518663148,5,14
1518664128,15,5
1518665312,11,14
1518666272,3,12
1518667229,17,12
1518668204,6,6
1518669405,8,14
1518670365,6,4
1518671315,10,5
1518672273,7,15
1518673475,7,4
1518674442,7,5
1518675393,9,9
1518676353,10,6
1518677556,5,12
1518678515,7,0
1518679463,8,12
1518680431,3,10
1518681392,7,3
1518682358,7,11
1518683057,8,5
1518683782,3,5
1518684499,11,8
1518685238,7,3
1518686198,8,4
1518687146,8,4
1518688115,4,10
1518689322,7,10
1518690267,12,6
1518691220,3,8
1518692191,9,5
1518693153,7,10
1518693858,9,16
1518694581,6,10
1518695301,9,2
1518696044,2,3
1518697380,6,13
1518698185,2,5
1518699139,9,4
1518700115,11,20
1518701399,7,45
1518702041,6,10
1518702738,6,4
1518703465,4,0
1518704431,5,5
1518705395,2,18
1518706345,7,3
1518707309,4,2
1518708261,8,8
1518709230,4,11
1518710185,5,3
1518711150,7,8
1518712105,6,7
1518712817,8,6
1518713545,6,5
1518714267,2,2
1518714981,6,10
1518715687,6,4
1518716780,6,15
1518717869,17,11
1518719326,11,12
1518720029,8,10
1518720751,4,5
1518721706,8,8
1518722416,6,1
1518723149,8,3
1518723858,5,9
1518724591,8,0
1518725293,10,10
1518726029,3,12
1518726742,5,0
1518727462,8,6
1518728440,14,14
1518729390,11,0
1518730095,4,5
1518730825,7,10
1518731786,11,12
1518732515,1,3
1518733464,9,5
1518734176,11,14
1518734920,6,8
1518735865,4,0
1518736848,8,14
1518737546,7,0
1518738264,3,10
1518739233,6,7
1518740437,8,6
1518741390,6,6
1518742349,9,15
1518743310,5,6
1518744265,5,8
1518745221,4,7
1518746185,5,8
1518747147,4,16
1518748347,7,13
1518749062,6,14
1518750031,8,8
1518750988,19,12
1518752189,6,11
1518753145,9,7
1518754116,8,9
1518755066,7,13
1518755787,3,0
1518756509,5,14
1518757227,3,0
1518758191,11,4
1518759146,8,12
1518760110,4,11
1518761072,7,8
1518762027,5,7
1518762988,6,10
1518763717,4,4
1518764434,3,4
1518765387,10,6
1518766397,5,7
1518767306,3,10
1518768279,4,3
1518769227,5,1
1518770191,9,10
1518771149,10,8
1518772127,15,5
1518773060,9,7
1518774028,5,9
1518774983,11,13
1518775953,7,13
1518776657,7,7
1518777384,12,2
1518778096,5,3
1518779068,6,14
1518780292,15,4
1518781225,1,5
1518781937,6,1
1518782679,6,9
1518783520,10,6
1518784122,11,4
1518784810,3,4
1518785531,4,5
1518786505,6,9
1518787207,10,8
1518788192,15,17
1518789139,4,12
1518789865,7,15
1518790575,6,11
1518791537,9,4
1518792505,7,7
1518793459,4,10
1518794672,17,16
1518795626,7,11
1518796842,12,21
1518797534,10,0
1518798265,3,17
1518798979,9,9
1518799698,7,16
1518800681,6,21
1518801624,8,27
1518802595,5,22
1518803541,8,3
1518804281,3,3
1518805217,9,2
1518806179,6,6
1518806889,7,6
1518807865,2,4
1518808586,11,13
1518809293,6,8
1518810009,2,10
1518810756,8,3
1518811472,6,3
1518812205,5,12
1518813146,3,6
1518814106,8,11
1518815315,8,9
1518816263,5,5
1518817223,1,13
1518818187,7,5
1518819144,12,13
1518820108,3,5
1518821061,9,10
1518822268,5,4
1518823470,9,15
1518824192,6,5
1518824852,9,0
1518825867,4,3
1518826825,10,6
1518827783,7,11
1518828749,10,4
1518829702,12,8
1518830658,7,11
1518831614,6,9
1518832586,8,7
1518833799,9,10
1518834753,7,0
1518835707,9,18
1518836683,19,7
1518837872,17,9
1518838828,4,3
1518839781,10,10
1518840765,6,15
1518841705,5,5
1518842668,5,4
1518843626,2,11
1518844599,6,11
1518845546,2,4
1518846515,7,5
1518847472,9,4
1518848434,3,4
1518849387,7,8
1518850349,5,14
1518851309,8,4
1518852274,9,3
1518853221,10,3
1518854193,4,8
1518855144,4,4
1518856112,9,4
1518857064,8,2
1518858033,3,11
1518858986,12,9
1518859958,6,7
1518860903,12,2
1518861874,6,9
1518862580,11,9
1518863298,2,0
1518864263,3,10
1518864987,3,7
1518865952,9,5
1518866904,10,7
1518867875,7,1
1518868831,4,6
1518869796,9,7
1518870513,5,7
1518871466,4,10
1518872433,12,6
1518873152,9,6
1518874109,8,3
1518875068,10,15
1518875862,7,10
1518876993,7,0
1518877947,6,17
1518878907,4,2
1518879622,3,4
1518880351,5,12
1518882528,17,17
1518883222,11,0
1518883944,8,7
1518884657,4,3
1518885379,4,9
1518886357,8,14
1518887063,5,0
1518887789,7,9
1518888747,6,8
