DateTime,AddedIPs,RemovedIPs
1518385368,3,5
1518386991,1,1
1518388876,2,2
1518389746,4,0
1518390701,0,2
1518391730,3,0
1518392561,1,6
1518394261,0,2
1518395336,2,0
1518396171,1,8
1518398089,4,5
1518399098,1,2
1518399977,7,4
1518401479,6,5
1518402347,1,0
1518403318,4,3
1518404166,5,0
1518405095,6,4
1518406009,3,0
1518406961,1,8
1518407841,5,6
1518408697,2,0
1518409923,3,5
1518410771,5,0
1518412522,3,6
1518414084,4,8
1518415078,3,0
1518416165,2,10
1518417132,8,9
1518417766,0,4
1518418885,6,9
1518420067,5,0
1518421379,1,7
1518423093,10,6
1518424289,4,5
1518425156,4,1
1518426906,12,4
1518427727,2,0
1518428759,4,12
1518429401,1,0
1518430256,4,5
1518430483,1,0
1518431483,2,5
1518432365,4,3
1518435109,10,10
1518435946,5,0
1518437070,6,3
1518437684,3,0
1518438965,2,3
1518439833,4,0
1518441081,4,4
1518441946,1,0
1518442797,3,4
1518443763,5,0
1518444646,1,2
1518445715,1,1
1518446685,2,2
1518448474,2,0
1518450160,1,3
1518451860,2,3
1518453380,3,3
1518454907,2,1
1518455691,2,0
1518456683,1,1
1518457362,2,1
1518458238,3,1
1518459061,2,2
1518460954,6,3
1518462651,5,2
1518464552,2,5
1518466262,0,1
1518468062,3,5
1518469859,5,2
1518471952,1,1
1518473673,2,1
1518475354,3,1
1518476879,0,3
1518478846,3,6
1518479785,2,2
1518480648,3,0
1518482556,4,3
1518484479,2,4
1518486060,5,5
1518486938,4,0
1518487844,1,3
1518488081,1,0
1518490586,14,20
1518491445,3,1
1518492656,5,10
1518493356,3,4
1518494245,1,5
1518495076,5,0
1518496979,2,8
1518498659,2,2
1518500448,4,15
1518501396,3,1
1518501547,0,9
1518502551,4,1
1518504063,3,11
1518504988,2,7
1518505875,7,0
1518507753,6,14
1518509758,7,5
1518510943,6,9
1518512138,4,1
1518513063,3,5
1518514125,1,0
1518515124,4,4
1518516530,5,4
1518518341,5,5
1518519411,1,3
1518520482,1,0
1518521294,1,0
1518523056,7,2
1518524074,5,3
1518525075,2,2
1518525948,1,1
1518527048,5,8
1518528523,5,0
1518529550,2,5
1518532058,1,0
1518532953,1,1
1518534950,0,1
1518535713,2,0
1518536747,0,3
1518538849,4,3
1518539793,2,5
1518540637,3,0
1518540992,1,0
1518541860,3,2
1518544598,2,4
1518545747,1,0
1518547915,2,4
1518548875,1,1
1518550263,0,1
1518552687,2,3
1518553843,2,0
1518554740,1,0
1518556243,2,1
1518557525,2,2
1518558404,1,0
1518559849,1,4
1518560910,1,0
1518562592,2,2
1518563696,1,5
1518565369,1,5
1518567055,0,3
1518568238,0,5
1518568953,2,1
1518570073,2,6
1518570957,1,0
1518571873,3,8
1518572754,2,2
1518574492,2,5
1518575313,3,0
1518576165,3,8
1518577813,1,7
1518579047,3,5
1518579944,1,3
1518581091,1,4
1518581681,2,0
1518582512,2,0
1518583542,3,5
1518585094,3,4
1518586278,0,10
1518586955,1,0
1518587808,0,9
1518588647,2,0
1518590214,2,10
1518591414,4,4
1518592254,7,0
1518594052,6,10
1518595470,2,7
1518596452,3,0
1518596920,1,0
1518597857,8,5
1518599671,1,8
1518601356,5,9
1518602209,2,10
1518603050,1,0
1518603953,1,0
1518604962,4,4
1518605800,2,0
1518606645,3,10
1518607831,2,6
1518608561,1,3
1518609402,0,5
1518610251,2,0
1518610483,1,0
1518611480,3,5
1518612160,0,2
1518613844,4,1
1518615759,3,3
1518617680,2,3
1518619252,2,3
1518621092,0,1
1518622070,1,0
1518623154,0,2
1518624655,3,3
1518626577,6,6
1518627864,2,3
1518628834,1,1
1518629989,2,6
1518630977,2,2
1518633078,3,3
1518633939,2,3
1518635277,0,1
1518636680,1,3
1518637543,0,1
1518638487,1,3
1518639344,2,0
1518640115,2,0
1518640958,3,6
1518642483,1,3
1518644576,1,4
1518646475,1,1
1518649390,6,5
1518651392,3,6
1518652976,2,3
1518654059,3,0
1518654523,1,0
1518655558,1,7
1518657060,2,4
1518658123,1,0
1518659038,0,14
1518659805,2,0
1518660644,3,9
1518662144,2,7
1518663394,4,4
1518664483,6,1
1518666155,5,5
1518667854,6,1
1518668809,1,0
1518669943,0,4
1518672280,5,5
1518673351,2,6
1518674243,0,1
1518675060,3,0
1518676960,1,12
1518677799,5,0
1518678653,4,9
1518680551,2,7
1518682252,1,4
1518683131,1,0
1518684161,3,11
1518685000,1,0
1518685848,1,6
1518687650,0,9
1518688594,1,4
1518689677,2,0
1518691363,4,6
1518692462,1,5
1518693350,1,0
1518694575,3,6
1518695799,3,0
1518696677,1,6
1518697722,2,0
1518698775,1,4
1518699715,0,3
1518700565,5,0
1518701977,2,3
1518702839,2,0
1518703850,1,1
1518705521,0,2
1518706461,2,0
1518707693,2,3
1518708650,0,3
1518711281,1,3
1518712269,3,4
1518713165,0,3
1518714586,2,1
1518716454,2,2
1518717308,1,0
1518719146,3,4
1518720986,2,3
1518724910,2,9
1518726517,2,0
1518728404,1,4
1518729324,2,1
1518730258,1,2
1518731143,1,0
1518732652,0,1
1518734745,0,3
1518735840,1,1
1518739198,2,6
1518740083,2,0
1518741072,2,3
1518741948,1,0
1518743762,1,4
1518747054,2,6
1518748658,3,9
1518750873,0,2
1518752170,3,7
1518754480,3,1
1518756153,3,0
1518757845,3,1
1518758766,2,0
1518759771,0,6
1518761080,2,2
1518762671,2,7
1518763550,0,6
1518765337,7,3
1518766967,2,8
1518768520,2,5
1518769873,4,5
1518770743,1,4
1518771573,1,5
1518772553,1,2
1518774503,1,7
1518775472,0,4
1518777345,1,5
1518779008,1,3
1518780053,2,0
1518781231,2,5
1518783044,0,5
1518784962,0,5
1518786058,1,1
1518786947,1,0
1518787862,0,3
1518788558,0,1
1518790244,5,1
1518791696,2,0
1518792630,3,0
1518793735,1,0
1518795076,1,3
1518797204,1,1
1518798049,2,1
1518799366,0,2
