DateTime,AddedIPs,RemovedIPs
1518435939,70,0
1518437056,88,87
1518437675,41,0
1518438951,96,88
1518439826,68,0
1518441054,94,51
1518441939,57,1
1518442790,60,85
1518443747,98,0
1518444639,125,60
1518445708,127,1
1518446677,82,116
1518447764,111,44
1518448467,44,0
1518450153,150,74
1518451843,158,100
1518453374,159,162
1518454229,81,0
1518454898,71,66
1518455680,60,0
1518456663,88,117
1518457352,71,47
1518458228,78,0
1518459048,88,88
1518460947,713,137
1518462644,151,166
1518464545,189,195
1518466242,132,99
1518468048,148,207
1518469846,134,109
1518470904,81,0
1518471939,77,141
1518473666,134,155
1518475347,143,235
1518476842,130,112
1518478840,186,215
1518479776,91,109
1518480641,79,1
1518482545,178,174
1518484473,166,181
1518486035,169,224
1518486932,94,0
1518487837,74,100
1518488074,10,0
1518490573,216,281
1518491438,90,1
1518492641,118,146
1518493349,71,48
1518494224,81,117
1518495048,69,1
1518496972,147,183
1518498645,143,70
1518500439,192,142
1518501388,89,0
1518501487,8,0
1518502539,77,149
1518504047,132,209
1518504981,74,109
1518505852,87,0
1518507746,148,167
1518509739,186,78
1518510936,118,149
1518512131,92,0
1518513048,52,193
1518514118,56,0
1518515101,54,166
1518516515,87,181
1518518333,123,160
1518519404,86,103
1518520475,69,0
1518521286,69,0
1518523048,134,207
1518524067,64,101
1518525065,85,112
1518525940,59,2
1518527028,93,148
1518528046,75,0
1518528511,92,1
1518529541,107,182
1518530861,114,116
1518532036,109,1
1518532945,91,171
1518534940,131,167
1518535706,72,2
1518536739,65,251
1518538838,159,116
1518539767,87,222
1518540631,68,0
1518540985,24,1
1518541842,77,111
1518542646,66,0
1518543650,126,134
1518544589,80,148
1518545730,129,0
1518547909,199,174
1518548868,83,109
1518550246,121,165
1518550950,80,53
1518551788,72,1
1518552655,80,108
1518553828,115,133
1518554731,105,0
1518556236,148,163
1518557514,110,130
1518558395,136,62
1518559842,162,108
1518560903,114,0
1518562586,169,134
1518563689,118,178
1518565353,168,198
1518567046,157,131
1518568231,93,147
1518568946,68,38
1518570065,85,126
1518570944,87,0
1518571863,90,142
1518572741,85,60
1518574480,156,102
1518575306,83,0
1518576153,59,203
1518577792,114,140
1518579037,82,150
1518579934,64,52
1518581062,89,114
1518581674,41,0
1518582505,60,0
1518583533,108,191
1518585044,108,83
1518586265,105,144
1518586944,61,57
1518587802,97,83
1518588640,96,0
1518590207,152,210
1518591407,105,112
1518592245,71,1
1518594041,204,171
1518595458,159,105
1518596444,110,1
1518596914,45,0
1518597850,98,131
1518599665,183,175
1518601349,169,234
1518602202,79,126
1518603043,82,1
1518603929,102,0
1518604955,94,152
1518605793,68,0
1518606639,91,151
1518607807,103,138
1518608554,69,50
1518609395,90,106
1518610243,86,0
1518610476,18,0
1518611470,84,117
1518612153,65,39
1518613837,158,127
1518615753,200,277
1518617673,215,128
1518619241,167,178
1518620202,105,0
1518621063,61,117
1518622063,86,2
1518623148,81,145
1518624648,174,191
1518626571,211,214
1518627858,147,128
1518628827,115,0
1518629971,131,446
1518630971,100,414
1518631846,83,0
1518632077,16,1
1518633064,80,160
1518633932,40,77
1518635264,76,100
1518636664,147,146
1518637537,100,0
1518638475,109,139
1518639332,67,0
1518640104,73,0
1518640951,88,186
1518642477,160,108
1518643705,133,1
1518644558,95,191
1518646468,193,100
1518649384,347,334
1518650441,90,0
1518651384,75,206
1518652944,155,101
1518654041,79,0
1518654515,35,1
1518655548,109,231
1518657046,131,118
1518658116,101,1
1518659031,71,189
1518659798,68,1
1518660636,66,109
1518662116,155,237
1518663381,108,109
1518664476,117,0
1518666148,168,173
1518667847,175,107
1518668801,120,0
1518669936,139,236
1518672259,191,114
1518673344,95,193
1518674236,94,93
1518675051,112,0
1518676952,210,179
1518677792,87,0
1518678642,88,93
1518680545,204,211
1518682245,164,73
1518683124,85,1
1518684155,98,130
1518684988,79,0
1518685842,61,82
1518686725,69,0
1518687625,78,114
1518688587,60,149
1518689670,89,3
1518691356,135,181
1518692401,71,91
1518693336,58,1
1518694555,59,166
1518695792,84,0
1518696650,37,100
1518697715,79,0
1518698748,69,186
1518699701,78,156
1518700542,59,1
1518701970,110,198
1518702832,82,0
1518703843,67,78
1518705496,101,112
1518706448,59,0
1518707681,73,114
1518708641,68,119
1518709603,51,57
1518711275,109,92
1518712262,67,149
1518713152,72,75
1518714559,103,113
1518716442,125,146
1518717298,59,0
1518719139,124,160
1518719989,50,198
1518720977,48,99
1518721840,60,0
1518724890,248,345
1518725751,72,1
1518726509,62,0
1518728396,148,388
1518729302,67,0
1518730242,78,170
1518731134,49,59
1518732644,123,124
1518733714,85,1
1518734736,83,246
1518735807,84,109
1518736845,87,0
1518737317,34,1
1518739191,136,310
1518740076,56,0
