DateTime,Entries,UniqueIPs
1518529693,70575,84316
1518530674,70600,84345
1518531615,70569,84297
1518532584,70577,84293
1518533537,70583,84308
1518534515,70600,84312
1518535456,70602,84303
1518536418,70607,84301
1518537374,70612,84275
1518538353,70618,84265
1518539298,70629,84272
1518540267,70618,84238
1518541215,70585,84184
1518542205,70528,84115
1518543134,70593,84207
1518544119,70601,84199
1518545059,70611,84218
1518546029,70604,84228
1518546974,70586,84212
1518547945,70589,84216
1518548906,70603,84215
1518549870,70625,84240
1518550817,70615,84217
1518551796,70604,84196
1518552744,70615,84178
1518553709,70616,84159
1518554659,70600,84138
1518555632,70583,84111
1518556581,70945,84474
1518557789,71748,85276
1518558746,70565,84042
1518559701,70693,84206
1518560666,70672,84170
1518561889,70652,84148
1518562822,70638,84130
1518563791,70665,84156
1518564887,70685,84183
1518566362,70720,84223
1518567782,70687,84183
1518568979,70685,84191
1518569982,70660,84155
1518570980,70662,84156
1518571984,70708,84232
1518572902,70688,84210
1518573892,70688,84206
1518574823,70694,84206
1518575787,70727,84233
1518578230,70713,84219
1518579138,70708,84205
1518580105,70723,84223
1518581066,70727,84226
1518582045,70727,84225
1518582976,70710,84220
1518583940,70673,84138
1518584908,70665,84118
1518586133,70631,84065
1518587054,70724,84169
1518588040,70741,84198
1518588974,70727,84177
1518590035,70740,84186
1518591130,70748,84193
1518592119,70736,84185
1518593056,70726,84165
1518594264,70732,84162
1518595222,70724,84172
1518596227,70658,84088
1518597387,70663,84096
1518598344,70669,84111
1518599294,70646,84073
1518600267,70659,84089
1518601227,70661,84084
1518602182,70662,84085
1518603144,70645,84043
1518604181,70665,84066
1518605565,70672,84083
1518606526,70665,84075
1518607459,70667,84074
1518608418,70641,84042
1518609395,70592,83989
1518610486,70583,83974
1518611554,70553,83932
1518612500,70528,83909
1518613493,70512,83890
1518614427,70505,83872
1518615373,70524,83908
1518616379,70466,83822
1518617536,70453,83797
1518618492,70449,83782
1518619477,70447,83776
1518620660,70430,83764
1518621616,70423,83726
1518622601,70424,83719
1518623533,70425,83732
1518624773,70447,83754
1518625699,70452,83748
1518626666,70459,83751
1518627630,70430,83721
1518628590,70426,83696
1518629554,70406,83661
1518630498,70411,83633
1518631481,70397,83616
1518632418,70384,83585
1518633396,70358,83532
1518634335,70368,83537
1518635305,70321,83449
1518636526,70317,83435
1518637457,70345,83449
1518638424,70314,83394
1518639387,70156,83173
1518640617,70122,83173
1518641533,70088,83128
1518642495,70050,83087
1518643461,70613,83669
1518644420,71155,84208
1518645392,71277,84362
1518646351,69915,82971
1518647312,69897,82944
1518649498,69879,82891
1518650417,69803,82779
1518651388,69843,82824
1518652341,69835,82815
1518653330,69812,82779
1518654264,69808,82759
1518655215,69816,82763
1518656176,69799,82744
1518657415,69808,82724
1518658340,69812,82715
1518659565,69749,82644
1518660520,69784,82691
1518661699,69743,82627
1518662660,69728,82602
1518663614,69742,82609
1518664585,69717,82549
1518665782,69750,82578
1518666751,69739,82562
1518667714,69738,82547
1518668694,69730,82527
1518669861,69756,82527
1518670826,69737,82493
1518671781,69748,82499
1518672735,69734,82462
1518673956,69735,82471
1518674920,69721,82458
1518675857,69721,82435
1518676816,69720,82432
1518678028,69685,82384
1518678991,69659,82378
1518679936,69694,82420
1518680902,69674,82395
1518681861,69599,82302
1518682812,69640,82355
1518683796,69589,82299
1518684735,69610,82336
1518685703,69533,82266
1518686656,69558,82308
1518687613,69534,82290
1518688580,69480,82208
1518689789,69483,82204
1518690742,69481,82209
1518691697,69478,82194
1518692667,69457,82172
1518693618,69445,82164
1518694596,69430,82123
1518695539,69453,82147
1518696519,69451,82117
1518697708,69456,82129
