DateTime,AddedIPs,RemovedIPs
1518750017,1,0
1518750316,2,0
1518750915,3,0
1518751515,1,0
1518755415,1,0
1518758115,1,0
1518758416,2,0
1518759616,4,0
1518760218,2,0
1518760516,2,0
1518768615,2,0
1518769216,1,0
1518769516,1,0
1518770115,6,0
1518770716,1,0
1518771017,1,0
1518771617,1,0
1518771917,1,0
1518782716,1,0
1518783317,10,0
1518783916,6,0
1518784516,6,0
1518784817,4,0
1518785115,4,0
1518785415,2,0
1518785715,4,0
1518786017,4,0
1518786315,2,0
1518794114,0,3
1518797716,1,0
1518798016,3,0
1518798617,8,0
1518798916,2,0
1518799216,1,0
1518799516,2,0
1518799816,2,0
1518800115,3,0
1518800417,4,0
1518801015,5,0
1518801615,1,0
1518811517,9,0
1518812116,9,0
1518812422,2,0
1518813015,8,0
1518813617,12,0
1518813916,6,1
1518814515,9,1
1518815116,7,1
1518815715,2,1
1518816317,1,0
1518817216,8,0
1518817815,2,0
1518818116,1,0
1518818716,6,0
1518819015,2,0
1518819616,2,0
1518819915,2,0
1518820515,2,0
1518821122,1,0
1518821715,3,0
1518822318,4,0
1518823515,5,0
1518824115,1,0
1518824716,1,0
1518825315,1,0
1518825618,3,0
1518826215,2,0
1518826816,9,0
1518827118,7,0
1518827715,17,0
1518828015,7,0
1518828616,6,0
1518829217,11,0
1518829516,1,0
1518830116,6,0
1518830717,4,0
1518831616,2,0
1518831915,2,0
1518833115,5,0
1518833716,3,0
1518834317,1,0
1518834617,2,0
1518835217,3,0
1518835516,5,0
1518836115,5,0
1518836416,6,0
1518837316,12,0
1518837616,4,0
1518838217,6,0
1518838816,7,0
1518839116,1,0
1518839715,3,0
1518840017,4,0
1518840615,1,0
1518841216,2,0
1518841515,1,0
1518842115,5,0
1518842715,2,0
1518843616,5,0
1518843916,3,0
1518844518,8,0
1518845115,6,0
1518845415,2,0
1518846017,6,0
1518846615,11,0
1518846916,1,0
1518847815,4,0
1518849016,3,0
1518849616,3,0
1518850215,3,0
1518850817,5,0
1518851715,7,0
1518852016,7,0
1518852615,11,0
1518853216,3,0
1518853515,6,0
1518854115,9,0
1518854417,9,0
1518855016,2,0
1518855616,5,0
1518855917,1,0
1518856515,3,0
1518856816,2,0
1518857415,6,0
1518858015,2,0
1518858316,2,0
1518858915,6,0
1518859215,4,0
1518859816,6,0
1518860416,10,0
1518860716,4,0
1518861316,7,0
1518861915,10,0
1518862215,2,0
1518862516,3,0
1518862816,3,0
1518863117,1,0
1518863715,5,0
1518864315,7,0
1518864916,6,0
1518865218,3,0
1518865815,4,0
1518866416,16,0
1518866715,2,0
1518867315,10,0
1518867617,4,0
1518868216,12,0
1518868816,13,0
1518869418,9,0
1518869716,3,0
1518870315,9,0
1518870916,7,0
1518871216,2,0
1518871817,2,0
1518872415,5,0
1518873016,5,0
1518873617,5,0
1518873917,2,0
1518874516,7,0
1518874818,2,0
1518875415,6,0
1518875716,2,0
1518876316,13,0
1518876918,13,0
1518877516,10,0
1518877816,4,0
1518878416,11,0
1518878715,3,0
1518879316,9,0
1518879616,6,0
1518882017,19,0
1518882315,5,0
1518882915,8,0
1518883216,4,0
1518883815,5,0
1518884416,2,0
1518884716,7,0
1518885016,4,0
1518885315,9,0
1518885915,12,0
1518886220,7,0
1518886817,14,0
1518887116,3,0
1518887716,15,0
1518888018,7,0
1518888617,10,0
1518888919,2,0
1518889217,4,0
1518889820,8,0
1518890417,8,0
1518890716,4,0
1518891017,2,0
1518891316,2,0
1518891616,3,0
1518892215,4,0
1518892816,5,0
1518893115,1,0
1518893416,9,0
1518894017,9,0
1518894316,5,0
1518894916,9,0
1518895215,3,0
1518895815,6,0
1518896116,7,0
1518896417,2,0
1518897015,6,0
1518897316,3,0
1518897916,7,0
1518898817,5,0
1518899115,1,0
1518899416,4,0
1518900016,5,0
1518900316,5,0
1518900915,2,0
1518901520,7,0
1518902115,12,0
1518902416,2,0
1518903015,12,0
1518903316,9,0
1518903617,2,0
1518903916,4,0
1518904516,5,0
1518905115,8,0
1518905715,2,0
1518906016,1,0
1518906615,5,0
1518907216,4,0
1518908424,2,0
1518909316,5,0
1518909616,1,0
1518911116,8,0
1518911715,6,0
1518912018,6,0
1518912616,4,0
1518913216,7,0
1518913515,7,0
1518914115,2,0
1518914416,1,0
1518915015,3,0
1518915617,3,0
1518915916,2,0
1518916515,2,0
1518917417,2,0
1518917716,3,0
1518918614,2,0
1518919515,4,0
1518919817,4,0
1518920115,3,0
1518920416,8,0
1518921018,1,0
1518921315,3,0
1518921616,6,0
1518921916,5,0
1518922216,7,0
1518922817,6,0
1518923717,1,0
1518924915,3,0
1518925216,1,0
1518925816,1,0
1518926115,2,0
1518926416,2,0
1518927316,3,0
1518927616,1,0
1518928215,7,0
1518928816,12,0
1518929116,3,0
1518929715,10,0
1518930018,3,0
1518930615,6,0
1518931216,1,0
1518931514,2,0
1518932115,5,0
