DateTime,Entries,UniqueIPs
1518750017,95942,96930
1518750316,95944,96932
1518750915,95947,96935
1518751515,95948,96936
1518755415,95949,96937
1518758115,95950,96938
1518758416,95952,96940
1518759616,95956,96944
1518760218,95958,96946
1518760516,95960,96948
1518768615,95962,96950
1518769216,95963,96951
1518769516,95964,96952
1518770115,95969,96958
1518770716,95970,96959
1518771017,95971,96960
1518771617,95972,96961
1518771917,95973,96962
1518782716,95974,96963
1518783617,95984,96973
1518783916,95990,96979
1518784516,95996,96985
1518784817,96000,96989
1518785115,96004,96993
1518785415,96006,96995
1518785715,96010,96999
1518786017,96014,97003
1518786315,96016,97005
1518794114,96013,97002
1518797716,96014,97003
1518798318,96017,97006
1518798617,96025,97014
1518798916,96027,97016
1518799216,96028,97017
1518799516,96030,97019
1518799816,96032,97021
1518800115,96035,97024
1518800417,96039,97028
1518801015,96044,97033
1518801615,96045,97034
1518811517,96054,97043
1518812116,96063,97052
1518812422,96065,97054
1518813015,96073,97062
1518813617,96085,97074
1518813916,96089,97079
1518814515,96097,97087
1518815116,96104,97093
1518815715,96105,97094
1518816317,96106,97095
1518817216,96114,97103
1518817815,96116,97105
1518818116,96117,97106
1518818716,96123,97112
1518819015,96125,97114
1518819616,96127,97116
1518819915,96129,97118
1518820515,96131,97120
1518821122,96132,97121
1518821715,96135,97124
1518822318,96139,97128
1518823515,96144,97133
1518824115,96145,97134
1518824716,96146,97135
1518825315,96147,97136
1518825618,96150,97139
1518826215,96152,97141
1518826816,96161,97150
1518827118,96167,97157
1518827715,96184,97174
1518828015,96191,97181
1518828616,96197,97187
1518829217,96208,97198
1518829516,96209,97199
1518830116,96215,97205
1518830717,96219,97209
1518831616,96221,97211
1518831915,96223,97213
1518833115,96228,97218
1518833716,96231,97221
1518834317,96232,97222
1518834617,96234,97224
1518835217,96237,97227
1518835516,96242,97232
1518836115,96247,97237
1518836416,96253,97243
1518837316,96265,97255
1518837616,96269,97259
1518838217,96275,97265
1518838816,96282,97272
1518839116,96283,97273
1518839715,96286,97276
1518840017,96290,97280
1518840615,96291,97281
1518841216,96293,97283
1518841515,96294,97284
1518842115,96299,97289
1518842715,96301,97291
1518843616,96306,97296
1518843916,96309,97299
1518844518,96317,97307
1518845115,96323,97313
1518845415,96325,97315
1518846017,96331,97321
1518846615,96342,97332
1518846916,96343,97333
1518847815,96347,97337
1518849016,96350,97340
1518849616,96353,97343
1518850215,96356,97346
1518850817,96361,97351
1518851715,96368,97358
1518852016,96374,97365
1518852615,96385,97376
