DateTime,AddedIPs,RemovedIPs
1518703951,137,142
1518704230,77,0
1518704896,157,274
1518705864,110,11
1518706819,98,150
1518707820,136,141
1518707831,48,0
1518708742,208,151
1518709708,197,226
1518710665,155,214
1518711690,354,149
1518712830,186,161
1518713541,2,2
1518713770,135,140
1518714744,184,168
1518715030,65,0
1518715697,148,174
1518716794,162,145
1518717878,12,3
1518719339,417,451
1518720025,3,6
1518720765,236,252
1518721231,36,24
1518721718,103,269
1518722182,2,2
1518722231,44,0
1518722652,246,9
1518723637,170,179
1518724602,162,148
1518725544,245,115
1518725830,46,0
1518726494,194,196
1518727475,191,194
1518728451,157,72
1518728897,44,0
1518729401,469,349
1518729430,50,0
1518730344,701,167
1518731301,514,173
1518732526,521,1636
1518732978,41,0
1518733475,250,125
1518734415,243,310
1518735384,210,11
1518736860,348,373
1518737777,163,4
1518738741,254,203
1518739709,277,156
1518740231,53,1788
1518740912,437,373
1518741858,170,265
1518742833,82,125
1518743782,43,6
1518743831,30,0
1518744763,72,421
1518745698,44,3
1518746669,36,171
1518747620,49,178
1518748589,39,180
1518749535,326,148
1518750506,294,80
1518751459,327,306
1518752677,411,218
1518752830,101,0
1518753619,145,177
1518754591,149,146
1518755801,195,228
1518756505,43,3
1518756737,140,210
1518757706,168,184
1518758661,157,205
1518759615,148,278
1518760031,71,0
1518760576,184,161
1518761537,143,129
1518762498,167,169
1518763730,246,174
1518764430,2,5
1518764905,135,179
1518765857,195,143
1518766393,7,4
1518766817,142,176
1518767231,47,0
1518767780,119,154
1518768275,5,1
1518768741,154,191
1518769691,99,148
1518770187,0,1
1518770656,158,122
1518770830,71,0
1518771624,92,82
1518772123,2,2
1518772585,127,206
1518773537,161,129
1518774023,1,0
1518774503,214,183
1518775467,121,197
1518775949,4,2
1518776420,136,146
1518777397,138,103
1518777858,1,2
1518778341,208,91
1518779546,198,198
1518780288,1,1
1518780740,159,160
1518781693,187,173
1518782175,47,6
1518782754,164,203
1518784158,144,283
1518785296,145,172
1518786041,68,2
1518786545,135,157
1518787727,252,190
1518788188,0,3
1518788764,123,136
1518788831,134,0
1518789943,221,175
1518790350,4,7
1518791061,223,133
1518791567,0,4
1518792029,199,132
1518792543,61,13
1518793033,378,148
1518793482,0,3
1518793964,6,95
1518794698,6,2
1518795138,9,202
1518795652,0,1
1518796892,104,303
1518798290,13,384
1518799247,10,126
1518799630,50,0
1518800228,10,158
1518801145,14,146
1518802160,7,150
1518802591,4,8
1518803231,42,0
1518804302,11,416
1518804751,27,1
1518805263,7,0
1518806227,12,231
1518806667,4,1
1518807386,60,95
1518808352,27,265
1518808582,2,0
1518809356,13,206
1518810292,10,159
1518810751,120,3
1518811580,25,283
1518812213,0,5
1518812664,10,167
1518813613,5,205
1518814126,0,2
1518814644,165,158
1518815325,0,2
1518815800,23,342
1518816292,2,1
1518816774,72,446
1518817233,1,3
1518817720,24,1660
1518818197,61,2
1518818708,6,0
1518819177,0,3
1518819644,16,273
1518820599,60,297
1518821070,0,2
1518821545,117,228
1518822291,2,5
1518822786,24,400
1518823486,2,2
1518824228,23,479
1518824866,42,37
1518825414,82,188
