DateTime,Entries,UniqueIPs
1518604181,250022,282971
1518605565,250034,282987
1518606526,250050,283006
1518607459,250069,283015
1518608418,250075,283023
1518609395,250079,283036
1518610486,250082,283048
1518611554,250109,283078
1518612500,250117,283091
1518613493,250128,283103
1518614427,250151,283125
1518615373,250156,283132
1518616379,250175,283146
1518617536,250181,283152
1518618492,250201,283173
1518619477,250214,283192
1518620660,250221,283211
1518621616,250232,283226
1518622601,250228,283215
1518623533,250247,283238
1518624773,250246,283234
1518625699,250256,283241
1518626666,250272,283260
1518627630,250280,283267
1518628590,249599,282461
1518629554,249615,282483
1518630498,249625,282492
1518631481,249642,282513
1518632418,249644,282511
1518632900,249609,282478
1518633396,249609,282480
1518634335,249641,282506
1518635305,249644,282501
1518636526,249662,282518
1518637457,249677,282536
1518638424,249679,282537
1518639387,249698,282564
1518640617,249699,282565
1518641533,249713,282580
1518642495,249721,282589
1518643461,249730,282594
1518644420,249726,282589
1518644900,249701,282569
1518645392,248897,281721
1518646351,248949,281781
1518647312,248973,281806
1518649498,248988,281834
1518650417,248999,281847
1518651388,249019,281871
1518652341,249058,281913
1518653330,249043,281896
1518654264,249056,281913
1518655215,249086,281946
1518656176,249097,281945
1518657415,249077,281920
1518658340,249088,281933
1518659565,249117,281966
1518660520,249130,281983
1518661699,249153,282010
1518662660,249168,282025
1518663614,249190,282050
1518664585,249195,282055
1518665782,249229,282094
1518666751,249227,282089
1518667714,249248,282110
1518668694,249159,281989
1518669861,249182,282016
1518670826,249204,282034
1518671781,249213,282042
1518672735,249243,282068
1518673956,249266,282091
1518674920,249265,282085
1518675857,249279,282095
1518676816,249306,282123
1518678028,249319,282135
1518678991,249325,282139
1518679936,249336,282155
1518680902,249347,282166
1518681861,249354,282168
1518682812,249363,282182
1518683796,249372,282195
1518684735,249395,282220
1518685703,249404,282231
1518686656,249421,282241
1518687613,249430,282252
1518688580,249442,282262
1518689789,249436,282255
1518690742,249465,282288
1518691697,249473,282297
1518692667,249494,282307
1518693618,249514,282332
1518694596,249511,282335
1518695539,249527,282355
1518696519,249531,282347
1518697708,249553,282375
1518698665,249559,282382
1518699630,249573,282400
1518700590,249571,282398
1518702054,249572,282401
1518702976,249581,282411
1518703951,249595,282435
1518704896,249597,282438
1518705864,249615,282459
1518706819,249612,282456
1518707820,249619,282461
1518708742,249631,282476
1518709708,249639,282493
1518710665,249650,282506
1518711690,249664,282511
1518712830,249690,282554
1518713770,249698,282571
1518714744,249709,282580
1518715697,249780,282622
1518716794,249805,282647
1518717878,249812,282654
1518719339,249805,282659
1518720765,249814,282667
1518721231,249805,282659
1518721718,249818,282674
1518722652,249839,282697
1518723637,249844,282692
1518724602,249862,282713
1518725544,249897,282751
1518726494,249894,282745
1518727475,249917,282768
1518728451,249927,282777
1518728897,249957,282813
1518729401,249976,282841
1518730344,249953,282804
1518731301,249956,282807
1518732526,249007,281790
1518732978,249035,281825
1518733475,249032,281819
1518734415,249029,281818
1518735384,249035,281839
1518736860,249044,281852
1518737777,249048,281860
1518738741,249066,281888
1518739709,249085,281920
1518740912,249112,281963
1518741858,249126,281981
1518742833,249126,281982
1518743782,249131,281987
1518744763,249130,281973
1518745698,249137,281980
1518746669,249135,281977
1518747620,249137,281977
1518748589,249129,281969
1518749535,249130,281969
1518750506,249157,281994
1518751459,249194,282043
1518752677,249210,282080
1518753619,249225,282099
1518754591,249224,282081
1518755801,249260,282122
1518756737,249258,282117
1518757706,249242,282098
1518758661,249248,282107
1518759615,249262,282124
1518760576,249259,282129
1518761537,249262,282138
1518762498,249265,282140
1518763730,249292,282169
1518764905,249295,282171
1518765857,249320,282179
1518766817,249327,282207
1518767780,249324,282201
1518768741,249329,282204
1518769691,249329,282206
1518770656,249327,282211
1518771624,249332,282214
1518772585,249347,282220
1518773537,249360,282239
1518774503,249372,282260
1518775467,249363,282254
1518776420,249357,282236
1518777397,249359,282242
1518778341,249370,282253
1518779546,249365,282231
1518780740,249376,282241
1518781693,249388,282263
1518782754,249413,282291
1518784158,249412,282300
1518785296,249415,282311
1518786545,249404,282292
1518787727,249422,282307
1518788764,249434,282314
1518789943,249444,282320
1518791061,249449,282311
1518791567,249448,282310
1518792029,249461,282323
1518793033,249495,282362
1518793482,249495,282361
1518793964,249481,282345
1518795138,249468,282332
1518796892,249457,282320
1518798290,249443,282305
1518799247,249423,282284
1518800228,249406,282267
1518801145,249407,282269
1518802160,249391,282217
1518803064,249380,282205
1518804302,249370,282195
1518804734,249345,282171
1518805263,249338,282163
1518806227,249331,282156
1518807386,249311,282135
1518808352,249296,282118
1518809356,249293,282112
1518810292,249266,282084
1518811580,249256,282074
1518812213,249255,282073
1518812664,249245,282063
1518813613,249220,282040
1518814126,249221,282041
1518814644,249200,282019
1518815800,249190,282009
1518816292,249191,282011
1518816774,249130,281953
1518817233,249131,281954
1518817720,249120,281932
1518818708,248278,281012
1518819177,248277,281011
1518819644,248265,280983
1518820599,248219,280932
1518821545,248212,280923
1518822291,248214,280925
1518822786,248194,280901
1518823486,248196,280903
1518824228,248161,280861
1518824866,248130,280829
1518825414,248119,280810
1518825879,248117,280807
1518826350,248105,280790
1518826859,248105,280790
1518827330,248097,280781
1518827825,248092,280776
1518828275,248087,280771
1518828780,248086,280770
1518829231,248069,280750
1518829748,248067,280748
1518830239,248063,280743
1518830678,248065,280745
1518831161,248055,280731
1518831647,248056,280732
1518832109,248039,280719
1518832596,248035,280715
1518833071,248019,280695
1518833808,248018,280694
1518834309,248007,280682
1518834764,248008,280683
1518835249,248000,280674
1518835728,248000,280674
1518836173,247997,280670
1518837172,247987,280659
1518837883,247986,280658
1518838348,247948,280606
1518839346,247950,280608
1518840261,247946,280604
1518840774,247959,280618
1518841221,247954,280607
1518841714,247953,280606
1518842186,247944,280594
1518843154,247927,280570
1518843635,247925,280568
1518844111,247913,280556
1518844608,247963,280608
1518845056,247971,280611
1518845557,248029,280669
1518846012,248008,280644
1518846524,248029,280668
1518846974,248013,280654
1518847481,248031,280672
1518847940,248020,280651
1518848444,248022,280655
