DateTime,AddedIPs,RemovedIPs
1518726122,3,2
1518727321,16,2
1518727922,1,0
1518728409,90,20
1518728885,27,74
1518729122,24,0
1518729721,5,2
1518730322,76,24
1518730921,8,0
1518731521,6,3
1518732182,6,2
1518732966,19,184
1518733321,11,0
1518734403,92,0
1518734522,4,16
1518735121,3,3
1518735782,9,5
1518736322,3,1
1518736922,9,3
1518737581,27,0
1518738121,5,1
1518738723,62,210
1518739383,49,6
1518739923,9,2
1518740521,4,2
1518741181,2,0
1518741721,5,0
1518742321,11,0
1518742810,128,0
1518742983,7,2
1518743522,3,7
1518744122,42,0
1518744725,72,92
1518745323,3,3
1518745922,4,0
1518746583,8,1
1518747121,10,1
1518747721,7,3
1518748566,66,83
1518748921,17,0
1518750121,10,11
1518750722,3,6
1518751322,5,2
1518751981,12,0
1518752644,77,8
1518753121,0,1
1518753783,7,1
1518754564,7,173
1518754921,13,11
1518755582,3,0
1518756121,5,2
1518756487,113,0
1518756722,1,0
1518757383,3,14
1518757921,3,10
1518758522,2,0
1518759722,1,30
1518760321,19,21
1518760564,84,12
1518760983,6,6
1518761521,6,0
1518762121,1,0
1518762484,101,191
1518762781,1,1
1518763696,188,213
1518763921,23,72
1518764583,31,4
1518765122,4,0
1518765721,3,1
1518766325,89,73
1518766381,0,2
1518766921,6,13
1518767521,2,56
1518768243,9,80
1518768722,22,10
1518769321,5,1
1518770162,100,10
1518770521,7,0
1518771122,11,22
1518771783,5,15
1518772322,9,0
1518772921,3,0
1518773521,0,2
1518774004,101,13
1518774121,1,7
1518774722,3,5
1518775383,1,3
1518775925,0,136
1518776521,2,2
1518777843,92,2
1518778225,0,1
1518778983,9,11
1518779522,11,26
1518780122,2,18
1518780722,10,0
1518781322,2,9
1518781922,1,0
1518782163,76,14
1518782583,5,0
1518783121,6,7
1518784096,2,134
1518784381,3,0
1518784921,5,5
1518786005,88,0
1518786185,4,14
1518787322,2,0
1518788164,91,16
1518788522,1,1
1518789722,4,31
1518790323,67,42
1518791043,41,122
1518792121,1,11
1518792721,2,11
1518793383,2,2
1518794522,1,0
1518795123,91,73
1518796810,2,98
1518796983,1,29
1518797522,14,0
1518798122,2,0
1518798723,89,2
1518799322,8,1
1518800583,1,24
1518801123,0,103
1518801722,3,2
1518802564,92,0
1518802921,5,28
1518804183,6,5
1518804722,2,0
1518805322,1,6
1518805981,7,0
1518806644,95,32
1518807122,31,2
1518807783,6,8
1518808921,10,0
1518809284,0,151
1518809582,2,1
1518810121,2,5
1518810723,101,1
1518811383,4,14
1518811922,13,0
1518812522,21,0
1518813121,5,0
1518813722,2,0
1518814563,88,26
1518814983,3,1
1518815763,11,179
1518816122,15,0
1518816726,70,0
1518817322,1,21
1518817922,8,0
1518818584,9,8
1518819604,0,97
1518819941,34,18
1518820381,13,13
1518820921,11,0
1518821521,2,7
1518822184,9,5
1518822723,106,9
1518823321,4,1
1518823981,18,0
1518824645,67,16
1518825363,10,186
1518825784,13,3
1518826322,1,0
1518826922,5,3
1518827582,4,1
1518828122,11,0
1518828725,133,0
1518829384,3,1
1518829921,1,5
1518830643,1,123
1518831125,207,7
1518831721,5,6
1518832563,8,295
1518832984,6,7
1518833522,14,0
1518834121,7,2
1518834724,75,0
1518834781,0,2
1518835322,4,3
1518835922,5,1
1518836584,7,0
1518837122,6,3
1518837721,15,5
1518838321,6,6
1518838803,77,9
1518839284,13,80
1518839522,14,2
1518840184,6,1
1518840722,5,135
1518841321,12,1
1518841982,1,3
1518842644,108,9
1518843123,0,204
1518843784,13,16
1518844566,89,4
1518844921,11,0
1518845521,1,0
1518846121,7,4
1518846722,12,0
1518847384,4,0
1518847922,16,0
1518848884,3,121
1518849181,6,0
1518849722,4,0
1518850924,6,11
1518851522,3,6
1518852245,131,6
1518852721,7,0
1518853322,7,0
1518854162,82,19
1518854643,4,125
1518855122,22,0
1518856084,4,4
