DateTime,Entries,UniqueIPs
1518726122,33292,40048
1518727321,33306,40062
1518727922,33307,40063
1518728409,33377,40133
1518728885,33331,40086
1518729122,33354,40110
1518729721,33357,40113
1518730322,33408,40165
1518730921,33416,40173
1518731521,33418,40176
1518732182,33422,40180
1518732966,33259,40015
1518733321,33269,40026
1518734403,33360,40118
1518734522,33348,40106
1518735121,33348,40106
1518735782,33352,40110
1518736322,33354,40112
1518736922,33360,40118
1518737581,33387,40145
1518738121,33391,40149
1518738723,33243,40001
1518739383,33287,40044
1518739923,33294,40051
1518740521,33296,40053
1518741181,33298,40055
1518741721,33303,40060
1518742321,33314,40071
1518742810,33441,40199
1518742983,33446,40204
1518743522,33442,40200
1518744122,33483,40242
1518744725,33464,40222
1518745323,33464,40222
1518745922,33468,40226
1518746583,33475,40233
1518747121,33483,40242
1518747721,33486,40246
1518748566,33469,40229
1518748921,33486,40246
1518750121,33484,40245
1518750722,33482,40242
1518751322,33485,40245
1518751981,33497,40257
1518752644,33566,40326
1518753121,33565,40325
1518753783,33571,40331
1518754564,33406,40165
1518754921,33408,40167
1518755582,33411,40170
1518756121,33414,40173
1518756487,33527,40286
1518756722,33528,40287
1518757383,33518,40276
1518757921,33511,40269
1518758522,33513,40271
1518759722,33485,40242
1518760321,33483,40240
1518760564,33554,40312
1518760983,33554,40312
1518761521,33560,40318
1518762121,33561,40319
1518762484,33468,40229
1518762781,33468,40229
1518763696,33443,40204
1518763921,33394,40155
1518764583,33421,40182
1518765122,33425,40186
1518765721,33427,40188
1518766325,33443,40204
1518766381,33441,40202
1518766921,33433,40195
1518767521,33380,40141
1518768243,33312,40070
1518768722,33323,40082
1518769321,33326,40086
1518770162,33414,40176
1518770521,33421,40183
1518771122,33414,40172
1518771783,33405,40162
1518772322,33414,40171
1518772921,33417,40174
1518773521,33415,40172
1518774004,33506,40260
1518774121,33500,40254
1518774722,33498,40252
1518775383,33496,40250
1518775925,33362,40114
1518776521,33362,40114
1518777843,33448,40204
1518778225,33447,40203
1518778983,33444,40201
1518779522,33429,40186
1518780122,33414,40170
1518780722,33424,40180
1518781322,33420,40173
1518781922,33421,40174
1518782163,33486,40236
1518782583,33491,40241
1518783121,33491,40240
1518784096,33359,40108
1518784381,33361,40111
1518784921,33361,40111
1518786005,33448,40199
1518786185,33438,40189
1518787322,33440,40191
1518788164,33515,40266
1518788522,33516,40266
1518789722,33495,40239
1518790323,33519,40264
1518791043,33438,40183
1518792121,33428,40173
1518792721,33420,40164
1518793383,33420,40164
1518794522,33421,40165
1518795123,33439,40183
1518796810,33342,40087
1518796983,33314,40059
1518797522,33328,40073
1518798122,33330,40075
1518798723,33417,40162
1518799322,33423,40169
1518800583,33402,40146
1518801123,33299,40043
1518801722,33300,40044
1518802564,33392,40136
1518802921,33369,40113
1518804183,33370,40114
1518804722,33372,40116
1518805322,33368,40111
1518805981,33375,40118
1518806644,33437,40181
1518807122,33466,40210
1518807783,33464,40208
1518808921,33473,40218
1518809284,33324,40067
1518809582,33325,40068
1518810121,33322,40065
1518810723,33419,40165
1518811383,33409,40155
1518811922,33422,40168
1518812522,33443,40189
1518813121,33448,40194
1518813722,33450,40196
1518814563,33511,40258
1518814983,33512,40260
1518815763,33346,40092
1518816122,33361,40107
1518816726,33430,40177
1518817322,33417,40157
1518817922,33425,40165
1518818584,33426,40166
1518819604,33329,40069
1518819941,33346,40085
1518820381,33347,40085
1518820921,33358,40096
1518821521,33353,40091
1518822184,33357,40095
1518822723,33454,40192
1518823321,33457,40195
1518823981,33475,40213
1518824645,33525,40264
1518825363,33355,40088
1518825784,33365,40098
1518826322,33366,40099
1518826922,33368,40101
1518827582,33371,40104
1518828122,33382,40115
1518828725,33515,40248
1518829384,33517,40250
1518829921,33513,40246
1518830643,33391,40124
1518831125,33591,40324
1518831721,33590,40323
1518832563,33304,40036
1518832984,33302,40035
1518833522,33316,40049
1518834121,33322,40054
1518834724,33397,40129
1518834781,33395,40127
1518835322,33396,40128
1518835922,33400,40132
1518836584,33407,40139
1518837122,33410,40142
1518837721,33423,40152
1518838321,33424,40152
1518838803,33492,40220
1518839284,33426,40153
1518839522,33438,40165
1518840184,33443,40170
1518840722,33313,40040
1518841321,33324,40051
1518841982,33323,40049
1518842644,33422,40148
1518843123,33218,39944
1518843784,33215,39941
1518844566,33301,40026
1518844921,33312,40037
1518845521,33313,40038
1518846121,33317,40041
1518846722,33328,40053
1518847384,33332,40057
1518847922,33348,40073
1518848884,33232,39955
1518849181,33238,39961
1518849722,33242,39965
1518850924,33237,39960
1518851522,33234,39957
1518852245,33360,40082
1518852721,33367,40089
1518853322,33374,40096
1518854162,33435,40159
1518854643,33315,40038
1518855122,33336,40060
1518856084,33337,40060
1518856381,33338,40061
1518856921,33344,40067
1518857522,33348,40071
1518858008,33433,40156
1518858483,33389,40111
1518858722,33397,40119
1518859321,33400,40122
1518859927,33497,40218
1518860521,33502,40222
1518861121,33504,40223
1518861784,33505,40225
1518862921,33514,40235
1518863763,33571,40293
1518864243,33529,40251
1518864721,33549,40272
1518865384,33544,40266
1518866403,33430,40153
1518866522,33429,40152
1518867181,33430,40153
1518867845,33537,40260
1518868226,33536,40259
1518868984,33534,40257
1518869522,33534,40257
1518870121,33534,40258
1518870781,33545,40270
1518871321,33543,40268
1518871921,33541,40266
1518872416,33456,40180
1518872584,33461,40184
1518873121,33454,40177
1518874083,33542,40264
1518874381,33546,40268
1518874922,33555,40277
1518876242,33636,40358
1518876963,33582,40303
1518877321,33584,40305
1518877922,33578,40299
