DateTime,AddedIPs,RemovedIPs
1518678511,32,77
1518679414,26,85
1518680427,24,85
1518681334,24,96
1518682353,20,94
1518683013,16,76
1518683735,14,66
1518684261,10,1
1518684454,19,59
1518685173,30,57
1518685692,9,3
1518686194,30,1439
1518686652,3,0
1518687093,20,848
1518688111,30,60
1518689253,26,50
1518690263,22,49
1518691173,29,34
1518692187,17,26
1518693092,17,27
1518693813,6,19
1518694094,9,2
1518694533,11,27
1518695253,17,24
1518696040,17,23
1518697653,40,62
1518698181,2,0
1518698614,13,30
1518699573,25,32
1518700111,4,6
1518700579,32,51
1518701412,16,91
1518702037,20,22
1518702693,16,22
1518703413,10,27
1518703944,10,2
1518704373,22,31
1518705332,20,23
1518705859,14,4
1518706293,13,28
1518707253,16,18
1518707815,6,5
1518708213,13,31
1518709172,13,21
1518709703,10,11
1518710134,9,50
1518711093,10,64
1518712054,13,81
1518712774,32,51
1518713541,20,72
1518714213,18,71
1518714934,14,67
1518715212,5,2
1518716135,24,105
1518717093,20,86
1518717864,6,14
1518719253,56,85
1518720025,18,33
1518720692,18,9
1518721653,22,27
1518722182,5,3
1518722373,22,28
1518723093,10,34
1518723814,13,34
1518724587,13,28
1518725253,13,32
1518725973,11,25
1518726489,10,5
1518726693,7,23
1518727413,11,23
1518728436,30,31
1518729334,25,34
1518729851,7,0
1518730052,17,30
1518730340,3,6
1518730773,7,26
1518731733,13,28
1518732511,27,21
1518733413,317,55
1518734132,13,26
1518734409,3,1
1518735332,18,41
1518736844,30,71
1518737493,21,19
1518738213,7,16
1518738736,2,0
1518739174,22,22
1518740373,21,38
1518740905,3,3
1518741332,18,29
1518742293,25,23
1518742828,2,10
1518743254,19,37
1518744213,19,27
1518744756,10,3
1518745133,16,17
1518746133,19,41
1518746664,5,6
1518747093,23,28
1518748293,18,31
1518748585,3,8
1518749013,15,21
1518749972,17,17
1518750501,10,15
1518750932,29,26
1518752132,21,22
1518752672,6,7
1518753093,26,30
1518754052,20,23
1518754586,10,6
1518755012,25,23
1518755732,13,13
1518756505,23,21
1518757172,15,6
1518758131,26,17
1518758654,15,8
1518759092,23,16
1518759608,3,1
1518760053,24,29
1518760571,3,10
1518761012,23,19
1518761973,24,30
1518762492,7,7
1518762934,19,30
1518763653,19,23
1518764430,17,33
1518765333,13,17
1518766393,44,33
1518767252,28,20
1518768275,31,41
1518769173,32,22
1518770187,23,24
1518771093,27,27
1518772123,22,40
1518773013,25,16
1518774026,43,21
1518774496,7,2
1518774933,23,18
1518775949,21,16
1518776613,22,15
1518777333,28,23
1518777858,2,2
1518778052,20,11
1518779013,33,18
1518780288,34,991
1518781172,993,12
1518781893,12,13
1518782175,1,6
1518782611,15,16
1518783333,15,16
1518784118,2,14
1518784532,33,28
1518785252,20,10
1518786041,36,18
1518786934,18,26
1518787653,20,16
1518788188,4,4
1518788760,47,50
1518789135,2,1
1518789333,19,10
1518790350,28,24
1518791013,13,17
1518791972,19,15
1518792501,15,2
1518792932,28,14
1518793892,17,16
1518794668,28,11
1518795572,15,12
1518797252,39,16
1518798212,16,9
1518798933,14,32
1518799653,16,18
1518800613,28,18
1518801573,33,22
1518802591,28,41
1518803492,36,18
1518803772,2,1
1518804751,36,30
1518805652,22,27
1518806667,33,23
1518807333,17,20
1518808053,21,15
1518808582,2,2
1518808772,10,18
1518809733,23,11
1518810751,25,14
1518811412,14,8
1518812134,23,15
1518812661,11,6
1518813092,23,9
1518814051,14,12
1518814631,0,11
1518815253,29,21
1518816213,15,19
1518816771,3,3
1518817172,14,9
1518817696,1,0
1518818132,28,11
1518818667,9,3
1518819093,35,6372
1518820052,22,11
1518820596,3,8
1518821012,13,15
1518822213,23,15
1518822751,4,3
1518823412,16,19
1518824132,12,14
1518824848,8,0
1518825333,23,17
1518826293,20,12
1518826821,5,4
1518827252,19,19
1518828213,19,19
1518829173,17,12
1518830133,23,13
1518830654,9,4
1518831093,12,14
1518832052,12,15
1518832581,3,7
1518833012,18,17
1518833786,7,12
1518834748,19,17
1518835653,15,15
1518836679,13,16
1518837813,16,29
1518838824,14,18
1518839732,19,23
1518840761,26,23
1518841626,11,13
1518842664,19,33
1518843573,17,16
1518844595,28,24
1518845492,24,21
1518846511,19,22
1518847411,38,11
1518848431,28,25
1518849333,26,13
1518850345,33,29
1518851252,19,16
1518852270,28,19
1518853173,38,16
1518854132,19,12
1518855092,14,21
1518856108,28,29
1518857012,22,18
1518858028,33,32
1518858933,22,15
1518859954,15,18
1518860852,13,22
1518861870,26,24
1518862532,11,16
1518863047,6,0
1518863252,12,16
1518863783,1,4
1518864213,13,26
1518864932,15,19
1518865946,24,19
1518866852,22,25
1518867813,10,17
1518868772,22,14
1518869792,24,22
1518870452,8,17
1518871412,23,25
1518871943,6,13
1518872372,36,26
1518873092,9,8
1518874105,25,21
1518875012,12,15
1518875874,43,144
1518876262,1,9
1518876933,18,29
1518877942,14,12
1518878432,5,9
1518878853,13,18
1518879572,10,10
1518880347,12,11
1518882524,53,34
1518883173,10,10
1518883892,12,14
1518884416,6,7
1518884613,13,9
1518885333,15,9
1518886353,22,26
1518887012,16,14
1518887732,8,25
1518888255,7,5
1518888692,12,18
1518889652,18,23
1518890444,6,2
1518890853,32,38
1518891812,21,14
1518892342,4,2
1518892818,16,18
1518893493,14,16
1518894517,20,24
1518895173,13,10
1518895891,12,14
1518896413,6,9
1518896611,11,14
1518897332,10,17
1518898353,21,25
1518899013,13,20
1518899972,23,14
1518900255,13,6
1518900932,18,15
1518902196,17,22
1518903092,15,16
1518904110,15,17
1518905069,23,23
1518906274,6384,334
1518907171,18,11
1518907450,5,1
1518908184,20,23
1518909093,12,19
1518909812,16,8
1518910923,12,4
1518911733,29,31
1518912749,38,18
1518913652,11,14
1518914662,30,25
1518915571,20,15
1518916590,30,17
1518917732,22,19
1518918746,21,15
1518919653,20,13
1518920372,11,3
1518921332,13,13
1518922095,17,10
1518922826,21,8
1518923733,15,17
1518924743,12,18
1518925413,9,14
1518926133,13,13
1518926915,23,13
1518927813,16,9
1518928821,17,16
1518929736,9,13
1518930749,30,20
1518931653,21,21
1518932372,20,10
1518932654,12,0
1518933092,11,10
1518933812,11,32
1518934589,19,28
1518935732,13,26
1518936747,23,25
1518937412,20,18
1518938132,11,8
1518938650,12,6
1518938853,10,10
1518939571,12,31
1518940293,9,13
1518940819,2,12
1518941252,17,14
1518941972,11,12
1518942741,24,39
