DateTime,Entries,UniqueIPs
1518678511,76527,9335859
1518679414,76467,9335800
1518680427,76406,9335739
1518681334,76334,9335667
1518682353,76261,9335593
1518683013,76201,9335533
1518683735,76149,9335481
1518684261,76159,9335490
1518684454,76119,9335450
1518685173,76091,9335423
1518685692,76096,9335429
1518686194,74694,9334020
1518686652,74697,9334023
1518687093,73869,9333195
1518688111,73839,9333165
1518689253,73815,9333141
1518690263,73788,9333114
1518691173,73782,9333109
1518692187,73772,9333100
1518693092,73760,9333090
1518693813,73747,9333077
1518694094,73754,9333084
1518694533,73738,9333068
1518695253,73731,9333061
1518696040,73725,9333055
1518697653,73703,9333033
1518698181,73705,9333035
1518698614,73688,9333018
1518699573,73681,9333011
1518700111,73679,9333009
1518700579,73660,9332990
1518701412,73585,9332915
1518702037,73583,9332913
1518702693,73579,9332907
1518703413,73562,9332890
1518703944,73570,9332898
1518704373,73561,9332889
1518705332,73557,9332886
1518705859,73566,9332896
1518706293,73551,9332881
1518707253,73549,9332879
1518707815,73550,9332880
1518708213,73532,9332862
1518709172,73524,9332854
1518709703,73524,9332853
1518710134,73483,9332812
1518711093,73429,9332758
1518712054,73361,9332690
1518712774,73341,9332671
1518713541,73290,9332619
1518714213,73237,9332566
1518714934,73184,9332513
1518715212,73187,9332516
1518716135,73106,9332435
1518717093,73040,9332369
1518717864,73032,9332361
1518719253,73002,9332332
1518720025,72988,9332317
1518720692,72997,9332326
1518721653,72994,9332321
1518722182,72995,9332323
1518722373,72989,9332317
1518723093,72965,9332293
1518723814,72944,9332272
1518724587,72931,9332257
1518725253,72912,9332238
1518725973,72898,9332224
1518726489,72903,9332229
1518726693,72887,9332213
1518727413,72876,9332201
1518728436,72874,9332200
1518729334,72867,9332191
1518729851,72874,9332198
1518730052,72864,9332185
1518730340,72861,9332182
1518730773,72852,9332163
1518731733,72837,9332148
1518732511,72843,9332154
1518733413,72819,9332416
1518734132,72806,9332403
1518734409,72808,9332405
1518735332,72786,9332382
