DateTime,AddedIPs,RemovedIPs
1518695521,1,2
1518696122,9,3
1518696721,4,0
1518697321,8,2
1518697981,3,0
1518698522,3,0
1518699122,9,0
1518699721,12,8
1518700321,3,0
1518700921,6,1
1518701581,6,3
1518702121,1,2
1518702629,3,2
1518703322,1,0
1518703922,5,2
1518704521,6,12
1518705181,8,2
1518705721,12,0
1518706227,1,0
1518706922,6,4
1518707522,2,1
1518708121,3,0
1518708721,2,0
1518709322,3,6
1518709921,3,6
1518710522,3,4
1518711721,0,2
1518712381,2,0
1518712922,1,2
1518713522,5,0
1518714121,3,1
1518715322,6,14
1518715981,20,0
1518716521,5,0
1518717121,8,1
1518718921,11,4
1518719581,6,0
1518720722,12,9
1518721321,1,14
1518721922,3,0
1518722521,5,0
1518723122,21,2
1518723721,6,3
1518724322,9,2
1518724922,9,6
1518726122,3,2
1518727321,16,2
1518727922,1,0
1518728521,7,3
1518729122,24,0
1518729721,5,2
1518730321,2,0
1518730921,8,0
1518731521,6,3
1518732122,6,2
1518732722,19,7
1518733321,11,0
1518734522,4,16
1518735121,3,3
1518735722,9,2
1518736322,3,1
1518736922,9,3
1518737581,27,0
1518738121,5,1
1518738722,1,0
1518739321,49,6
1518739923,9,2
1518740521,4,2
1518741181,3,0
1518741721,5,0
1518742321,11,0
1518742923,7,1
1518743522,3,7
1518744122,42,0
1518745323,3,3
1518745922,4,0
1518746521,8,0
1518747121,10,1
1518747721,7,3
1518748382,9,0
1518748921,17,0
1518750121,10,11
1518750722,3,6
1518751322,5,2
1518751981,12,0
1518752521,2,0
1518753121,0,1
1518753721,7,0
1518754321,7,0
1518754921,13,11
1518755582,3,0
1518756121,5,2
1518756722,1,0
1518757321,3,13
1518757921,3,10
1518758522,2,0
1518759722,1,30
1518760321,19,21
1518760922,5,5
1518761521,6,0
1518762121,1,0
1518762781,1,1
1518763696,279,244
1518763921,23,72
1518764522,31,1
1518765122,4,0
1518765721,3,1
1518766321,7,0
1518766381,0,2
1518766921,6,13
1518767521,2,56
1518768122,9,0
1518768722,22,10
1518769321,5,1
1518769981,9,10
1518770521,8,0
1518771122,11,22
1518771721,5,11
1518772322,9,0
1518772921,3,0
1518773521,0,2
1518774121,1,7
1518774722,3,5
1518775321,1,2
1518776521,2,2
1518777721,5,2
1518778225,0,1
1518778921,9,11
1518779522,11,26
1518780122,2,18
1518780722,10,0
1518781322,2,9
1518781922,1,0
1518782521,5,0
1518783121,6,7
1518783722,2,3
1518784381,3,0
1518784921,5,5
1518786121,4,12
1518787322,2,0
1518787981,2,2
1518788522,1,1
1518789722,4,31
1518790322,9,3
1518790921,2,2
1518792121,1,11
1518792721,2,11
1518793322,2,0
1518794522,1,0
1518795121,3,1
1518796322,2,6
1518796922,1,29
1518797522,14,0
1518798122,2,0
1518798722,0,2
1518799322,8,1
1518800521,0,22
1518801722,3,2
1518802921,5,28
1518804122,6,0
1518804722,2,0
1518805322,1,6
1518805981,7,0
1518806521,11,17
1518807122,31,2
1518807722,6,4
1518808921,10,0
1518809582,2,1
1518810121,2,5
1518810626,7,1
1518811321,4,14
1518811922,13,0
1518812522,21,0
1518813121,5,0
1518813722,2,0
1518814321,3,2
1518814922,3,1
1518815522,11,5
1518816122,15,0
1518817322,1,21
1518817922,8,0
1518818522,9,7
1518819941,34,18
1518820381,13,13
1518820921,11,0
1518821521,2,7
1518822122,9,4
1518822722,17,9
1518823321,4,1
1518823981,18,0
1518824521,7,0
1518825122,10,10
1518825722,13,3
1518826322,1,0
1518826922,5,3
1518827582,4,1
1518828122,11,0
1518828722,7,0
1518829321,3,0
1518829921,1,5
1518830522,1,0
1518831121,8,7
1518831721,5,6
1518832322,8,108
1518832922,6,7
1518833522,14,0
1518834121,7,2
