DateTime,Entries,UniqueIPs
1518681121,4849,4876
1518681721,4842,4869
1518682321,4863,4890
1518682921,4876,4903
1518683522,4873,4900
1518684121,4876,4903
1518685322,4886,4913
1518685921,4877,4904
1518686521,4892,4920
1518687722,4866,4894
1518688322,4878,4906
1518688922,4879,4906
1518689521,4892,4919
1518690122,4908,4935
1518690721,4921,4948
1518691321,4922,4949
1518691921,4900,4926
1518692522,4912,4938
1518693722,4899,4925
1518694922,4891,4917
1518695521,4900,4926
1518696122,4890,4917
1518696721,4884,4912
1518697321,4869,4896
1518697921,4880,4907
1518698522,4885,4912
1518699122,4911,4939
1518699721,4903,4932
1518700321,4903,4932
1518700921,4908,4937
1518701521,4932,4961
1518702121,4918,4947
1518703322,4889,4918
1518703922,4898,4927
1518704521,4905,4934
1518705121,4929,4958
1518705721,4945,4975
1518706922,4959,4990
1518707522,4949,4980
1518708121,4964,4995
1518708721,4963,4993
1518709322,4967,4997
1518709921,4957,4987
1518710522,4971,5001
1518711122,4994,5024
1518711721,4968,4998
1518712321,4961,4991
1518712922,4963,4993
1518713522,4993,5024
1518714121,5004,5035
1518715322,4982,5013
1518715922,4994,5025
1518716521,4999,5030
1518717121,5017,5048
1518718921,4971,5001
1518719521,4975,5005
1518720722,4975,5004
1518721321,4965,4993
1518721922,4970,4997
1518722521,4995,5022
1518723122,5023,5050
1518723721,5018,5045
1518724322,5007,5034
1518724922,5025,5052
1518726122,4957,4983
1518727321,4977,5003
1518728521,4952,4978
1518729122,4999,5025
1518729721,4997,5023
1518730321,4991,5017
1518730921,5011,5037
1518731521,4991,5018
1518732122,4993,5021
1518732722,5005,5033
1518733321,5032,5060
1518734522,5023,5051
1518735121,5034,5063
1518735722,5054,5084
1518736322,5022,5052
1518736922,5032,5062
1518737522,5067,5097
1518738121,5067,5097
1518738722,5039,5068
1518739321,5093,5122
1518739923,5067,5095
1518740521,5052,5079
1518741121,5056,5083
1518741721,5076,5104
1518742321,5089,5117
1518742923,5067,5093
1518743522,5090,5117
1518744122,5116,5143
1518745323,5084,5111
1518745922,5089,5116
1518746521,5125,5152
1518747121,5156,5183
1518747721,5128,5155
1518748322,5142,5169
1518748921,5138,5164
1518750121,5141,5167
1518750722,5148,5175
1518751322,5154,5181
1518751921,5130,5159
1518752521,5127,5156
1518753721,5112,5140
1518754321,5115,5143
1518754921,5076,5103
1518755522,5088,5115
1518756121,5099,5126
1518756722,5095,5121
1518757321,5123,5149
1518757921,5103,5129
1518758522,5113,5139
1518759122,5115,5141
1518759722,5118,5144
1518760321,5129,5155
1518760922,5080,5105
1518761521,5076,5101
1518762121,5067,5092
1518762721,5079,5104
1518763322,5103,5129
1518763921,5137,5163
1518764522,5150,5176
1518765122,5163,5189
1518765721,5094,5120
1518766321,5115,5141
1518766921,5117,5142
1518767521,5129,5154
1518768122,5123,5147
1518768722,5128,5152
1518769321,5134,5160
1518769921,5138,5164
1518770521,5159,5185
1518771122,5162,5189
1518771721,5160,5186
1518772322,5178,5204
1518772921,5175,5200
1518774121,5158,5183
1518774722,5159,5183
1518775321,5148,5172
1518776521,5128,5153
1518777721,5115,5140
1518778921,5125,5151
1518779522,5109,5135
1518780122,5100,5127
1518780722,5126,5153
1518781322,5138,5165
1518782521,5149,5176
1518783121,5159,5186
1518783722,5142,5169
1518784322,5158,5186
1518784921,5080,5108
1518786121,5057,5085
1518786722,5046,5073
1518787322,5058,5085
1518787921,5063,5090
1518788522,5056,5083
1518789722,5041,5068
1518790322,5066,5094
1518790921,5050,5078
1518792121,5003,5030
1518792721,5019,5046
1518793322,5039,5066
1518794522,5006,5033
1518795121,5020,5047
1518796322,4961,4990
1518796922,4949,4978
1518797522,4986,5015
1518798122,4978,5009
1518799322,4981,5013
1518800521,4938,4970
1518801722,4949,4980
1518802321,4956,4987
1518802921,4935,4966
1518804122,4923,4954
1518804722,4935,4966
1518805322,4944,4975
1518805922,4944,4975
1518806521,4958,4989
