DateTime,AddedIPs,RemovedIPs
1518672121,6,1
1518673322,2,0
1518673921,16,1
1518674522,2,0
1518675122,4,0
1518675722,8,0
1518677522,4,5
1518678122,8,0
1518678721,32,2
1518679321,8,2
1518680521,5,3
1518681121,4,0
1518681721,0,29
1518682321,6,0
1518682921,2,0
1518683522,6,1
1518684121,7,1
1518685322,7,1
1518685921,6,0
1518686521,5,3
1518687722,2,3
1518688322,1,0
1518688922,16,0
1518689521,9,7
1518690122,2,13
1518690721,4,0
1518691321,3,0
1518691921,1,4
1518692522,3,0
1518693722,7,3
1518694922,5,11
1518695521,1,0
1518696122,4,2
1518696721,4,4
1518697321,9,8
1518697921,3,1
1518698522,3,1
1518699122,6,0
1518699721,10,5
1518700321,2,0
1518700921,6,7
1518701521,6,0
1518702121,1,0
1518703322,1,5
1518703922,5,2
1518704521,7,29
1518705121,9,0
1518705721,13,0
1518706922,4,1
1518707522,2,1
1518708121,3,0
1518708721,2,10
1518709322,3,0
1518709921,2,0
1518710522,3,1
1518711122,0,26
1518712321,3,0
1518712922,1,0
1518713522,8,0
1518714121,3,36
1518715322,3,1
1518715922,20,0
1518716521,5,0
1518717121,10,6
1518718921,9,7
1518719521,6,6
1518720722,12,6
1518721321,0,4
1518721922,3,0
1518722521,5,0
1518723122,21,21
1518723721,7,0
1518724322,3,0
1518724922,9,4
1518726122,3,13
1518727321,16,0
1518728521,6,6
1518729122,26,0
1518729721,5,5
1518730321,3,0
1518730921,8,1
1518731521,3,2
1518732122,6,7
1518732722,5,17
1518733321,13,0
1518734522,1,13
1518735121,2,0
1518735722,10,0
1518736322,3,30
1518736922,9,0
1518737522,28,0
1518738121,5,0
1518738722,2,0
1518739321,47,0
1518739923,9,12
1518740521,4,2
1518741121,4,0
1518741721,5,0
1518742321,9,2
1518742923,8,2
1518743522,3,0
1518744122,38,0
1518745323,3,0
1518745922,5,4
1518746521,8,1
1518747121,9,0
1518747721,6,1
1518748322,9,0
1518748921,18,0
1518750121,8,20
1518750722,3,1
1518751322,6,5
1518751921,16,0
1518752521,2,0
1518753721,6,7
1518754321,6,1
1518754921,13,8
1518755522,4,1
1518756121,5,0
1518756722,1,1
1518757321,5,14
1518757921,3,0
1518758522,3,0
1518759122,0,2
1518759722,1,0
1518760321,1,1
1518760922,5,0
1518761521,7,0
1518762121,1,0
1518762721,1,0
1518763322,4,0
1518763921,23,0
1518764522,4,0
1518765122,1,0
1518766321,6,1
1518766921,3,9
1518767521,1,0
1518768122,9,0
1518768722,5,0
1518769321,6,0
1518769921,3,4
1518770521,7,0
1518771122,3,15
1518771721,3,14
1518772322,8,3
1518772921,3,1
1518774121,2,1
1518774722,2,0
1518775321,1,0
1518776521,2,19
1518777721,2,4
1518778921,2,22
1518780122,1,8
1518780722,11,7
1518781322,2,0
1518782521,7,2
1518783121,6,0
1518783722,2,4
1518784322,2,7
1518784921,4,7
1518786121,2,0
1518786722,0,2
1518787322,1,24
1518787921,2,0
1518788522,1,3
1518789722,3,2
1518790322,6,0
1518790921,2,0
1518792121,1,5
1518792721,2,0
1518793322,1,0
1518794522,1,6
1518795121,3,0
1518796322,2,2
1518796922,1,0
1518797522,15,3
1518798122,2,7
1518799322,8,7
1518800521,0,3
1518801722,3,9
1518802921,0,1
1518804122,3,5
1518804722,2,0
1518805322,1,0
1518805922,8,0
1518806521,10,2
1518807122,31,3
1518807722,6,5
1518808921,7,2
1518809521,2,1
1518810121,2,0
1518811321,3,0
1518811922,13,26
1518812522,15,0
1518813121,4,0
1518813722,2,2
1518814321,2,4
1518814922,3,4
1518815522,8,2
1518816122,16,0
1518817322,1,3
1518817922,6,0
1518818522,9,25
1518819722,6,5
